Key,en,nl,ru,de,pt,cs,es,fi,fr,ja,ko,lt,pl,tr,zh,it,sv,no
GAMEPLAY_SETTINGS,Gameplay Settings,Gameplay-instellingen,Настройки игрового процесса,Gameplay-Einstellungen,Configurações de jogo,Nastavení hry,Configuración del juego,Peliasetukset,Paramètres de jeu,ゲームプレイ設定,게임플레이 설정,Žaidimo nustatymai,Ustawienia rozgrywki,Oyun Ayarları,游戏设置,Impostazioni di gioco,Spelinställningar,Spillinnstillinger
SCREEN_MOVEMENT,Screen Movement,Schermbeweging,Движение экрана,Bildschirmbewegung,Movimento da tela,Pohyb obrazovky,Movimiento de pantalla,Näytön liike,Mouvement de l'écran,画面の動き,화면 이동,Ekrano judėjimas,Ruch ekranu,Ekran Hareketi,屏幕运动,Movimento dello schermo,Skärmrörelse,Skjermbevegelse
USE_BOTH_OPTION,Use Both,Gebruik beide,Используйте оба варианта,Verwenden Sie beides,Use ambos,Použijte obojí,Utilice ambos,Käytä molempia,Utiliser les deux,両方を使用する,둘 다 사용하세요,Naudokite abu,Użyj obu,Her ikisini de kullan,两者同时使用,Usa entrambi,Använd båda,Bruk begge
ONLY_DRAG_OPTION,Only use drag movement,Gebruik alleen sleepbeweging,Используйте только перетаскивание,Verwenden Sie nur die Ziehbewegung,Use apenas movimento de arrasto,Používejte pouze pohyb tažením,Utilice únicamente el movimiento de arrastre,Käytä vain vetoliikettä,Utiliser uniquement le mouvement de glissement,ドラッグ移動のみを使用する,드래그 동작만 사용하세요,Naudokite tik tempimo judesį,Używaj tylko ruchu przeciągania,Sadece sürükleme hareketini kullan,仅使用拖动移动,Utilizzare solo il movimento di trascinamento,Använd endast dragrörelse,Bruk kun drabevegelse
ONLY_SIDES_OPTION,Only use screen sides movement,Gebruik alleen schermzijdenbeweging,Использовать только движение сторон экрана,Verwenden Sie nur die Bewegung an den Bildschirmseiten,Use apenas o movimento das laterais da tela,Používejte pouze pohyb stran obrazovky,Utilice únicamente el movimiento lateral de la pantalla,Käytä vain näytön sivujen liikettä,Utiliser uniquement le mouvement des côtés de l'écran,画面の左右の動きのみを使用する,화면 측면 이동만 사용하세요,Naudokite tik ekrano šonų judesį,Używaj tylko ruchu po bokach ekranu,Sadece ekran kenarlarındaki hareketi kullan,仅使用屏幕侧面移动,Utilizzare solo il movimento laterale dello schermo,Använd endast rörelse på skärmens sidor,Bruk kun bevegelse på skjermens sider
DRAG_SENSITIVITY,Drag Sensitivity,Sleepgevoeligheid,Чувствительность к перетаскиванию,Widerstandsempfindlichkeit,Sensibilidade de Arrasto,Citlivost přetažení,Sensibilidad al arrastre,Vedä herkkyys,Sensibilité à la traînée,ドラッグ感度,드래그 감도,Vilkimo jautrumas,Czułość przeciągania,Sürükleme Hassasiyeti,阻力灵敏度,Sensibilità al trascinamento,Dragkänslighet,Dra Sensitivitet
SIDES_SENSITIVITY,Sides Sensitivity,Gevoeligheid van de zijkanten,Чувствительность сторон,Seitenempfindlichkeit,Sensibilidade Lateral,Citlivost stran,Sensibilidad lateral,Sivujen herkkyys,Sensibilité latérale,側面の感度,측면 민감도,Šoninis jautrumas,Wrażliwość na boki,Yan Hassasiyet,侧面敏感度,Sensibilità ai lati,Sidor känslighet,Sidesensitivitet
GRAPHICS_SETTINGS,Graphics Settings,Grafische instellingen,Настройки графики,Grafikeinstellungen,Configurações gráficas,Nastavení grafiky,Configuración de gráficos,Grafiikkaasetukset,Paramètres graphiques,グラフィック設定,그래픽 설정,Grafikos nustatymai,Ustawienia grafiki,Grafik Ayarları,图形设置,Impostazioni grafiche,Grafikinställningar,Grafikkinnstillinger
DISPLAY_MODE,Display Mode,Weergavemodus,Режим отображения,Anzeigemodus,Modo de exibição,Režim zobrazení,Modo de visualización,Näyttötila,Mode d'affichage,表示モード,디스플레이 모드,Ekrano režimas,Tryb wyświetlania,Görüntüleme Modu,显示模式,Modalità di visualizzazione,Visningsläge,Visningsmodus
WINDOWED_OPTION,Windowed,Venster,С окном,Fenster,Janela,Okno,Con ventana,Ikkunallinen,Fenêtré,ウィンドウ付き,윈도우,Languotas,Okienkowy,Pencereli,窗口化,Finestrato,Fönster,Vinduer
FULLSCREEN_OPTION,Fullscreen,Volledig scherm,Полноэкранный,Vollbild,Tela cheia,Celá obrazovka,Pantalla completa,Koko näyttö,Plein écran,全画面表示,전체 화면,Visas ekranas,Pełny ekran,Tam ekran,全屏,A schermo intero,Helskärm,Fullskjerm
SCREEN_RESOLUTION,Screen Resolution,Schermresolutie,Разрешение экрана,Bildschirmauflösung,Resolução da tela,Rozlišení obrazovky,Resolución de pantalla,Näytön resoluutio,Résolution de l'écran,画面解像度,화면 해상도,Ekrano raiška,Rozdzielczość ekranu,Ekran Çözünürlüğü,屏幕分辨率,Risoluzione dello schermo,Skärmupplösning,Skjermoppløsning
CUSTOM_OPTION,Custom,Aangepast,Обычай,Brauch,Personalizado,Zvyk,Costumbre,Mukautettu,Coutume,カスタム,관습,Pasirinktinis,Zwyczaj,Gelenek,风俗,Costume,Beställnings,Skikk
LIMIT_FPS,Limit FPS,Limiet FPS,Ограничить FPS,FPS begrenzen,Limitar FPS,Limit FPS,Limitar FPS,Rajoita FPS,Limiter les FPS,FPSを制限する,FPS 제한,Apriboti FPS,Ogranicz FPS,FPS'yi sınırla,限制 FPS,Limita FPS,Begränsa FPS,Begrens FPS
NO_LIMIT_OPTION,No Limit,Geen limiet,Без ограничений,Keine Begrenzung,Sem limite,Bez omezení,Sin límite,Ei rajoitusta,Aucune limite,制限なし,제한 없음,Nr Limit,Bez limitu,Sınır Yok,无限制,Nessun limite,Ingen gräns,Ingen grense
LIMIT_FPS_OPTION,Limit FPS,Limiet FPS,Ограничить FPS,FPS begrenzen,Limitar FPS,Limit FPS,Limitar FPS,Rajoita FPS,Limiter les FPS,FPSを制限する,FPS 제한,Apriboti FPS,Ogranicz FPS,FPS'yi sınırla,限制 FPS,Limita FPS,Begränsa FPS,Begrens FPS
VSYNC_LIMIT_OPTION,Vsync Limit,Vsync-limiet,Предел вертикальной синхронизации,Vsync-Limit,Limite de Vsync,Vsync Limit,Límite de sincronización vertical,Vsync Limit,Limite de synchronisation verticale,垂直同期制限,수직 동기 제한,Vsync limitas,Ograniczenie Vsync,Vsync Sınırı,垂直同步限制,Limite Vsync,Vsync-gräns,Vsync-grense
VSYNC_ADAPTIVE_OPTION,Vsync Adaptive,Vsync Adaptief,Вертикальная синхронизация Адаптивная,Vsync Adaptiv,Vsync Adaptativo,Adaptivní Vsync,Vsync Adaptativo,Vsync Adaptive,Vsync adaptatif,Vsyncアダプティブ,Vsync 적응형,Vsync Adaptive,Vsync adaptacyjny,Vsync Uyarlamalı,垂直同步自适应,Vsync adattivo,Vsync adaptiv,Vsync adaptiv
VSYNC_MAILBOX_OPTION,Vsync Mailbox,Vsync-mailbox,Вертикальный почтовый ящик,Vsync-Postfach,Caixa de correio Vsync,Poštovní schránka Vsync,Buzón de correo Vsync,Vsync-postilaatikko,Boîte aux lettres Vsync,Vsyncメールボックス,Vsync 사서함,Vsync pašto dėžutė,Skrzynka pocztowa Vsync,Vsync Posta Kutusu,垂直同步邮箱,Casella di posta Vsync,Vsync brevlåda,Vsync postkasse
FPS_LIMIT,FPS Limit,FPS-limiet,Предел FPS,FPS-Limit,Limite de FPS,Limit FPS,Límite de FPS,FPS-rajoitus,Limite FPS,FPS制限,FPS 제한,FPS limitas,Limit FPS,FPS Sınırı,FPS 限制,Limite FPS,FPS-gräns,FPS-grense
ACCESSIBILITY_SETTINGS,Accessibility Settings,Toegankelijkheidsinstellingen,Настройки доступности,Eingabehilfen-Einstellungen,Configurações de acessibilidade,Nastavení usnadnění,Configuración de accesibilidad,Esteettömyysasetukset,Paramètres d'accessibilité,アクセシビリティ設定,접근성 설정,Pritaikymo neįgaliesiems nustatymai,Ustawienia ułatwień dostępu,Erişilebilirlik Ayarları,辅助功能设置,Impostazioni di accessibilità,Tillgänglighetsinställningar,Tilgjengelighetsinnstillinger
CONTROLLER_MODE,Controller Mode,Controller-modus,Режим контроллера,Controller-Modus,Modo de controlador,Režim ovladače,Modo controlador,Ohjaintila,Mode contrôleur,コントローラーモード,컨트롤러 모드,Valdiklio režimas,Tryb kontrolera,Denetleyici Modu,控制器模式,Modalità controller,Kontrollläge,Kontrollermodus
DISABLED_OPTION,Disabled,Gehandicapt,Неполноценный,Deaktiviert,Desabilitado,Zakázáno,Desactivado,Pois käytöstä,Désactivé,無効,장애가 있는,Išjungta,Wyłączony,Engelli,已禁用,Disabili,Inaktiverad,Funksjonshemmet
ENABLED_OPTION,Enabled,Ingeschakeld,Включено,Ermöglicht,Habilitado,Povoleno,Activado,Käytössä,Activé,有効,활성화됨,Įjungta,Włączony,Etkinleştirilmiş,已启用,Abilitato,Aktiverad,Aktivert
HIGHLIGHT_COLOR,Highlight Color,Markeerkleur,Цвет выделения,Hervorhebungsfarbe,Cor de destaque,Barva zvýraznění,Color de resaltado,Korosta Väri,Couleur de surbrillance,ハイライトカラー,하이라이트 색상,Paryškinkite spalvą,Podświetl kolor,Vurgu Rengi,高亮颜色,Colore di evidenziazione,Markera färg,Uthev farge
RESET_COLOR_BUTTON,Reset to Default Color,Resetten naar standaardkleur,Сбросить до цвета по умолчанию,Auf Standardfarbe zurücksetzen,Redefinir para a cor padrão,Obnovit výchozí barvu,Restablecer el color predeterminado,Palauta oletusväri,Réinitialiser la couleur par défaut,デフォルトの色にリセット,기본 색상으로 재설정,Atkurti numatytąją spalvą,Przywróć domyślny kolor,Varsayılan Renk'e Sıfırla,重置为默认颜色,Ripristina colore predefinito,Återställ till standardfärg,Tilbakestill til standardfarge
HEMOPHOBIA_MODE,Hemophobia Mode,Hemofobie-modus,Режим гемофобии,Hämophobie-Modus,Modo Hemofobia,Režim hemofobie,Modo hemofobia,Hemofobiatila,Mode hémophobie,血液恐怖症モード,혈액공포증 모드,Hemofobijos režimas,Tryb hemofobii,Hemofobi Modu,恐血症模式,Modalità Emofobia,Hemofobiläge,Hemofobi-modus
LOADING_GAME,Loading,Bezig met laden,Загрузка,Laden,Carregando,Načítání,Cargando,Ladataan,Chargement,読み込み中,로딩 중,Įkeliama,Załadunek,Yükleniyor,加载中,Caricamento,Belastning,Laster
LANGUAGE,Language,Taal,Язык,Sprache,Linguagem,Jazyk,Idioma,Kieli,Langue,言語,언어,Kalba,Język,Dil,语言,Lingua,Språk,Språk
CHANGES_WARNING,Changes Warning!,Waarschuwing voor wijzigingen!,"Внимание, изменения!",Änderungen Achtung!,Aviso de alterações!,Změny Upozornění!,¡Advertencia de cambios!,Muutokset Varoitus!,Attention aux changements !,変更の警告!,변경 경고!,Pakeitimai Įspėjimas!,Ostrzeżenie o zmianach!,Değişiklik Uyarısı!,变更警告！,Attenzione alle modifiche!,Ändringar Varning!,Endringer Advarsel!
CHANGES_DESCRIPTION,"You have unsaved changes, do you wish to exit or save these changes? You have the following section(s) with changes:",U heeft nog niet-opgeslagen wijzigingen. Wilt u deze wijzigingen opslaan of afsluiten? U heeft de volgende sectie(s) met wijzigingen:,"У вас есть несохраненные изменения, вы хотите выйти или сохранить эти изменения? У вас есть следующие разделы с изменениями:",Sie haben noch nicht gespeicherte Änderungen. Möchten Sie diese beenden oder speichern? Sie haben die folgenden Abschnitte mit Änderungen:,Você tem alterações não salvas. Deseja sair ou salvá-las? Você tem as seguintes seções com alterações:,"Máte neuložené změny, chcete tyto změny ukončit nebo uložit? Máte následující sekce se změnami:",Tiene cambios sin guardar. ¿Desea salir o guardarlos? Tiene las siguientes secciones con cambios:,"Sinulla on tallentamattomia muutoksia, haluatko poistua vai tallentaa nämä muutokset? Sinulla on seuraavat osiot, joissa on muutoksia:",Vous avez des modifications non enregistrées. Souhaitez-vous les quitter ou les enregistrer ? Les sections suivantes ont été modifiées :,保存されていない変更があります。終了するか、変更を保存しますか? 変更が加えられたセクションは次のとおりです:,"저장하지 않은 변경 사항이 있습니다. 종료하시겠습니까, 아니면 변경 사항을 저장하시겠습니까? 다음 섹션에 변경 사항이 있습니다.","Turite neišsaugotų pakeitimų, ar norite išeiti ar išsaugoti šiuos pakeitimus? Turite šią (-as) skiltis (-es) su pakeitimais:","Masz niezapisane zmiany, chcesz wyjść czy zapisać te zmiany? Masz następujące sekcje ze zmianami:","Kaydedilmemiş değişiklikleriniz var, çıkmak mı yoksa bu değişiklikleri kaydetmek mi istiyorsunuz? Değişikliklerin bulunduğu aşağıdaki bölüm(ler)iniz var:",您有未保存的更改，是退出还是保存这些更改？您有以下部分需要更改：,Hai modifiche non salvate. Desideri uscire o salvarle? Hai le seguenti sezioni con modifiche:,"Du har osparade ändringar, vill du avsluta eller spara dessa ändringar? Du har följande sektion(er) med ändringar:","Du har ulagrede endringer, ønsker du å avslutte eller lagre disse endringene? Du har følgende seksjon(er) med endringer:"
DEFAULT,Default,Standaard,По умолчанию,Standard,Padrão,Výchozí,Por defecto,Oletus,Défaut,デフォルト,기본,Numatytoji,Domyślny,Varsayılan,默认,Predefinito,Standard,Misligholde
PAUSED,Paused,Gepauzeerd,Приостановлено,Angehalten,Pausado,Pozastaveno,En pausa,Keskeytetty,En pause,一時停止,일시 중지됨,Pristabdyta,Wstrzymano,Duraklatıldı,已暂停,In pausa,Pausad,Pause
REFRESH_BUTTON,Refresh,Vernieuwen,Обновить,Aktualisieren,Atualizar,Obnovit,Refrescar,Päivitä,Rafraîchir,リフレッシュ,새로 고치다,Atnaujinti,Odświeżać,Yenile,刷新,Aggiornare,Uppdatera,Forfriske
METEOR_SHOWER,Meteor Shower,Meteorenregen,Метеоритный дождь,Meteorschauer,Chuva de meteoros,Meteorický roj,Lluvia de meteoritos,Meteorisadetta,Pluie de météores,流星群,유성우,Meteorų lietus,Deszcz meteorów,Meteor Yağmuru,流星雨,Pioggia di meteore,Meteorregn,Meteorregn
COOLDOWN,Cooldown,Afkoelen,Остывать,Abklingzeit,Esfriar,Cooldown,Enfriarse,Jäähdytys,Refroidir,クールダウン,쿨다운,Atšalimas,Wychłodzenie,Sakin ol,冷却,Raffreddare,Nedkylning,Nedkjøling
METEOR_SHOWER_DESCRIPTION,Call upon the master Shamans to unleash a powerful Meteor Shower.,Roep de meester-sjamanen aan om een ​​krachtige meteorenregen te ontketenen.,"Призовите мастеров-шаманов, чтобы они вызвали мощный метеоритный дождь.","Rufen Sie die Meisterschamanen an, um einen mächtigen Meteorschauer auszulösen.",Invoque os mestres xamãs para liberar uma poderosa chuva de meteoros.,"Vyzvěte hlavní šamany, aby rozpoutali mocný meteorický roj.",Invoca a los maestros chamanes para desatar una poderosa lluvia de meteoritos.,Kutsu mestarishamaaneja vapauttamaan voimakas meteorisuihku.,Faites appel aux maîtres chamans pour déclencher une puissante pluie de météores.,マスターシャーマンを召喚して、強力な流星雨を解き放ちましょう。,최고의 샤먼을 불러 강력한 유성우를 발사하세요.,"Pakvieskite pagrindinius šamanus, kad jie paleistų galingą meteorų dušą.","Wezwij mistrzów szamanizmu, aby uwolnili potężny deszcz meteorów.",Güçlü bir Meteor Yağmuru başlatmak için usta Şamanları çağırın.,召唤大师萨满释放强大的流星雨。,Invoca i maestri sciamani per scatenare una potente pioggia di meteoriti.,Be mästerschamanerna att släppa lös en kraftfull meteorregn.,Be mestersjamanene for å slippe løs en kraftig meteorregn.
EMPOWERED,Empowered,Bevoegd,Уполномоченный,Ermächtigt,Empoderado,Zmocněno,Empoderado,Valtuutettu,Autonomisé,エンパワーメント,강화됨,Įgalintas,Wzmocniony,Güçlendirilmiş,授权,Potenziato,Befogenhet,Bemyndiget
AGE_UP,Age Up,Leeftijd omhoog,Возраст вверх,Altern,Idade acima,Age Up,Aumentar la edad,Age Up,Vieillir,年齢を重ねる,나이를 먹다,Amžius Aukštyn,Wiek w górę,Yaşını Yükselt,年龄增长,Invecchiamento,Ålder upp,Alder opp
AGE_UP_DESCRIPTION,Upgrades the age you're in. Age upgrading will improve units drastically and empower your special ability.,Upgradet het tijdperk waarin je je bevindt. Door een tijdperk te upgraden worden eenheden drastisch verbeterd en wordt je speciale vaardigheid versterkt.,"Улучшает эпоху, в которой вы находитесь. Улучшение эпохи значительно улучшит юниты и усилит ваши особые способности.","Verbessert das Zeitalter, in dem Sie sich befinden. Durch die Verbesserung des Alters werden Einheiten drastisch verbessert und Ihre besonderen Fähigkeiten gestärkt.",Aumenta a idade em que você está. Aumentar a idade melhorará as unidades drasticamente e fortalecerá sua habilidade especial.,"Vylepšuje věk, ve kterém se nacházíte. Vylepšování věku drasticky zlepší jednotky a posílí vaši speciální schopnost.",Mejora la edad en la que estás. La mejora de edad mejorará drásticamente las unidades y potenciará tu habilidad especial.,Päivittää ikääsi. Ikäpäivitys parantaa yksiköitä huomattavasti ja vahvistaa erityiskykyäsi.,Améliore l'âge dans lequel vous vous trouvez. L'amélioration de l'âge améliorera considérablement les unités et renforcera votre capacité spéciale.,時代をアップグレードします。時代をアップグレードすると、ユニットが大幅に改善され、特殊能力が強化されます。,현재 연령을 업그레이드합니다. 연령을 업그레이드하면 유닛이 대폭 강화되고 특수 능력이 강화됩니다.,"Atnaujina amžių, kuriame esate. Atnaujinus amžių, vienetai drastiškai pagerės ir suteiks jūsų ypatingų sugebėjimų.","Ulepsza epokę, w której się znajdujesz. Ulepszenie epoki znacznie ulepszy jednostki i wzmocni twoje specjalne umiejętności.","Bulunduğunuz çağı yükseltir. Yaş yükseltme, birimlerinizi önemli ölçüde geliştirecek ve özel yeteneğinizi güçlendirecektir.",升级你所处的时代。年龄升级将大大改善单位并增强你的特殊能力。,Potenzia l'epoca in cui ti trovi. L'aggiornamento dell'epoca migliorerà drasticamente le unità e potenzierà la tua abilità speciale.,Uppgraderar den ålder du är i. Åldersuppgradering kommer att förbättra enheter drastiskt och stärka din speciella förmåga.,Oppgraderer alderen du er i. Aldersoppgradering vil forbedre enhetene drastisk og styrke din spesielle evne.
CURRENTLY_UNAVAILABLE,Currently unavailable,Momenteel niet beschikbaar,В настоящее время недоступно,Zur Zeit nicht verfügbar,Atualmente indisponível,Momentálně nedostupné,Actualmente no disponible,Ei tällä hetkellä saatavilla,Actuellement indisponible,現在利用できません,현재 사용할 수 없습니다,Šiuo metu nepasiekiamas,Obecnie niedostępne,Şu anda mevcut değil,当前不可用,Attualmente non disponibile,För närvarande inte tillgänglig,Foreløpig utilgjengelig
VICTORY,Victory,Overwinning,Победа,Sieg,Vitória,Vítězství,Victoria,Voitto,Victoire,勝利,승리,Pergalė,Zwycięstwo,Zafer,胜利,Vittoria,Seger,Seier
DEFEAT,Defeat,Verlies,Поражение,Verlust,Derrota,Porazit,Fracaso,Voittaa,Défaite,敗北,패배시키다,Nugalėti,Pokonać,Yenmek,击败,Sconfitta,Besegra,Nederlag
MATCH_DURATION,Match Duration,Wedstrijdduur,Продолжительность матча,Spieldauer,Duração da partida,Doba trvání zápasu,Duración del partido,Ottelun kesto,Durée du match,試合時間,경기 기간,Rungtynių trukmė,Czas trwania meczu,Maç Süresi,比赛时长,Durata della partita,Matchlängd,Kampvarighet
CURRENCY_EARNED,Currency Earned,Verdiende valuta,Заработанная валюта,Verdiente Währung,Moeda Ganha,Vydělaná měna,Moneda ganada,Ansaittu valuutta,Devise gagnée,獲得した通貨,획득한 화폐,Uždirbta valiuta,Zarobiona waluta,Kazanılan Para Birimi,赚取的货币,Valuta guadagnata,Intjänad valuta,Opptjent valuta
LOCKED,Locked,Vergrendeld,Заблокировано,Gesperrt,Trancado,Zamčeno,Bloqueado,Lukittu,Fermé,ロックされています,잠김,Užrakinta,Zamknięty,Kilitli,已锁定,Bloccato,Låst,Låst
LOCKED_DESCRIPTION,"Certain actions and events will give you progress towards unlocking a new random Power Up. Every time this is unlocked, you will be rewarded with 1x Power Up Reroll.","Bepaalde acties en gebeurtenissen geven je toegang tot een nieuwe, willekeurige Power-up. Elke keer dat je deze ontgrendelt, word je beloond met 1x Power-up-herhaling.","Определенные действия и события дадут вам прогресс в разблокировке нового случайного Power Up. Каждый раз, когда это разблокируется, вы будете вознаграждены 1x Power Up Reroll.","Bestimmte Aktionen und Ereignisse ermöglichen dir Fortschritte beim Freischalten eines neuen zufälligen Power-Ups. Jedes Mal, wenn dieses freigeschaltet wird, erhältst du einen Power-Up-Reroll.","Certas ações e eventos lhe darão progresso para desbloquear um novo Power Up aleatório. Cada vez que ele for desbloqueado, você será recompensado com 1 Reroll de Power Up.","Některé akce a události vám poskytnou pokrok směrem k odemknutí nového náhodného Power Up. Pokaždé, když toto odemknete, budete odměněni 1x Power Up Reroll.","Ciertas acciones y eventos te permitirán avanzar para desbloquear un nuevo potenciador aleatorio. Cada vez que lo desbloquees, recibirás una repetición de potenciador.","Tietyt toiminnot ja tapahtumat antavat sinulle edistystä kohti uutta satunnaista Power Up -toimintoa. Joka kerta kun tämä avataan, saat 1x Power Up Rerollin.","Certaines actions et événements vous permettront de progresser vers le déblocage d'un nouveau bonus aléatoire. À chaque déblocage, vous recevrez une relance de bonus.",特定のアクションやイベントをこなすことで、ランダムなパワーアップのアンロックに向けて進捗が進みます。アンロックされるたびに、パワーアップリロールが1回付与されます。,특정 행동과 이벤트를 통해 새로운 무작위 파워업을 잠금 해제하는 데 필요한 진행도를 얻을 수 있습니다. 이 파워업을 잠금 해제할 때마다 파워업 재굴림 1회가 보상으로 제공됩니다.,"Tam tikri veiksmai ir įvykiai suteiks jums pažangą link naujo atsitiktinio maitinimo įjungimo. Kiekvieną kartą, kai tai bus atrakinta, būsite apdovanoti 1x Power Up Reroll.","Niektóre akcje i wydarzenia dadzą ci postęp w odblokowaniu nowego losowego Power Up. Za każdym razem, gdy zostanie on odblokowany, zostaniesz nagrodzony 1x Power Up Reroll.","Belirli eylemler ve olaylar size yeni bir rastgele Güçlendirmeyi açma yolunda ilerleme sağlayacaktır. Bu her açıldığında, 1x Güçlendirme Yeniden Atışı ile ödüllendirileceksiniz.",某些行动和事件会帮助你解锁新的随机强化道具。每次解锁后，你都会获得 1 倍强化道具重掷奖励。,"Alcune azioni ed eventi ti faranno progredire verso lo sblocco di un nuovo Power Up casuale. Ogni volta che lo sblocchi, riceverai in ricompensa 1 Power Up Reroll.",Vissa åtgärder och händelser kommer att ge dig framsteg mot att låsa upp en ny slumpmässig Power Up. Varje gång detta låses upp kommer du att belönas med 1x Power Up Reroll.,"Visse handlinger og hendelser vil gi deg fremgang mot å låse opp en ny tilfeldig Power Up. Hver gang dette låses opp, vil du bli belønnet med 1x Power Up Reroll."
WARRIOR,Warrior,Strijder,Воин,Krieger,Guerreiro,Bojovník,Guerrero,Soturi,Guerrier,戦士,전사,Karys,Wojownik,Savaşçı,战士,Guerriero,Krigare,Kriger
RANGER,Ranger,Boswachter,Рейнджер,Ranger,Guarda-florestal,Strážce,Guardabosque,Ranger,Ranger,レンジャー,레인저,Rangeris,Leśniczy,Korucu,游侠,Guardia forestale,Ranger,Ranger
ASSASSIN,Assassin,Moordenaar,Убийца,Attentäter,Assassino,Vrah,Asesino,Salamurhaaja,Assassin,暗殺者,암살자,Assassin,Morderca,Suikastçı,刺客,Assassino,Mördare,Assassin
ENFORCER,Enforcer,Handhaver,Исполнитель,Vollstrecker,Executor,Enforcer,Ejecutor,Täytäntöönpano,Exécuteur,執行者,집행자,Vykdytojas,egzekutor,Uygulayıcı,执法者,Esecutore,Enforcer,Enforcer
TANK,Tank,Tank,Танк,Tank,Tanque,Nádrž,Tanque,Tankki,Réservoir,タンク,탱크,Tankas,Zbiornik,Tank,坦克,Cisterna,Tank,Tank
MASSHEALER,MassHealer,MassaGenezer,Массовый целитель,MassHealer,Curandeiro em massa,MassHealer,Sanador masivo,MassHealer,MassHealer,マスヒーラー,매스힐러,MassHealer,Masowy uzdrowiciel,Kitlesel şifacı,群体治疗师,Guaritore di massa,MassHealer,MassHealer
BATTLEMAGE,Battlemage,Strijdmagiër,Боевой маг,Kampfmagier,Mago de Batalha,Battlemage,Mago de batalla,Battlemage,Mage de bataille,バトルメイジ,배틀메이지,Battlemage,Mag bitewny,Savaş büyücüsü,战斗法师,Mago combattente,Battlemage,Battlemage
